,station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,x_ride_code_support,cross_street,last_updated,ttl
190,200,"C/ JOAN GUELL, 174",ELECTRICBIKESTATION,41.3839045,2.1312876,47,"C/ JOAN GUELL, 174",8028,24,True,1000,True,,1661983179,2
191,201,"C/ NUMÀNCIA, 136",ELECTRICBIKESTATION,41.3878061,2.1344218,55,"C/ NUMÀNCIA, 136",8029,24,True,1000,True,,1661983179,2
192,202,"C/ DE LES CORTS, 20",ELECTRICBIKESTATION,41.3854466,2.1288753,52,"C/ DE LES CORTS, 20",8028,27,True,1000,True,,1661983179,2
193,203,"AV. DIAGONAL, 668",ELECTRICBIKESTATION,41.3887069,2.1285766,64,"AV. DIAGONAL, 668",8034,33,True,1000,True,,1661983179,2
194,204,"AV. DIAGONAL, 664",ELECTRICBIKESTATION,41.3880355,2.1256248,63,"AV. DIAGONAL, 664",8034,33,True,1000,True,,1661983179,2
195,205,"C/ EUROPA, 25",ELECTRICBIKESTATION,41.387561,2.1306737,57,"C/ EUROPA, 25",8028,33,True,1000,True,,1661983179,2
196,206,"AV. DIAGONAL, 650",ELECTRICBIKESTATION,41.3897943,2.1328634,62,"AV. DIAGONAL, 650",8017,31,True,1000,True,,1661983179,2
197,207,"AV. DIAGONAL, 634",ELECTRICBIKESTATION,41.3908477,2.136579,62,"AV. DIAGONAL, 634",8017,25,True,1000,True,,1661983179,2
198,208,"AV. DIAGONAL, 630",ELECTRICBIKESTATION,41.3915195,2.1390667,59,"AV. DIAGONAL, 630",8017,33,True,1000,True,,1661983179,2
199,209,"C/ DIPUTACIÓ, 200",ELECTRICBIKESTATION,41.3857425,2.1610515,23,"C/ DIPUTACIÓ, 200",8011,25,True,1000,True,,1661983179,2
200,210,"C/ VILARDELL, 18",ELECTRICBIKESTATION,41.3745238,2.1422556,22,"C/ VILARDELL, 18",8014,31,True,1000,True,,1661983179,2
201,211,"C/ SANCHO DE ÁVILA, 60-64",ELECTRICBIKESTATION,41.3987543,2.1902116,5,"C/ SANCHO DE ÁVILA, 60-64",8018,28,True,1000,True,,1661983179,2
202,212,"AV. SARRIÀ, 163",ELECTRICBIKESTATION,41.3922355,2.1309272,75,"AV. SARRIÀ, 163",8017,24,True,1000,True,,1661983179,2
203,213,"C/ SANTA FE DE NOU MÈXIC, 2",ELECTRICBIKESTATION,41.3935816,2.1345892,70,"C/ SANTA FE DE NOU MÈXIC, 2",8017,33,True,1000,True,,1661983179,2
204,214,"C/ JOSÉ DE  AGULLÓ, 9",ELECTRICBIKESTATION,41.3952027,2.1334873,72,"C/ JOSÉ DE  AGULLÓ, 9",8017,25,True,1000,True,,1661983179,2
205,215,"C/ GANDUXER, 29",ELECTRICBIKESTATION,41.3939378,2.1380304,65,"C/ GANDUXER, 29",8021,21,True,1000,True,,1661983179,2
206,216,"C/ MADRAZO, 131",ELECTRICBIKESTATION,41.3967824,2.1445567,63,"C/ MADRAZO, 131",8021,27,True,1000,True,,1661983179,2
207,217,"C/ RECTOR UBACH, 24",ELECTRICBIKESTATION,41.3985735,2.1440826,75,"C/ RECTOR UBACH, 24",8021,27,True,1000,True,,1661983179,2
208,218,"C/ CONSELL DE CENT, 566",ELECTRICBIKESTATION,41.4040364,2.183145,17,"C/ CONSELL DE CENT, 566",8013,39,True,1000,True,,1661983179,2
209,219,"C/ LAFORJA, 74-76",ELECTRICBIKESTATION,41.3976165,2.1471724,67,"C/ LAFORJA, 74-76",8021,26,True,1000,True,,1661983179,2
210,220,"C/ TUSET, 19",ELECTRICBIKESTATION,41.3960982,2.1513154,53,"C/ TUSET, 19",8006,27,True,1000,True,,1661983179,2
211,221,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",ELECTRICBIKESTATION,41.4025392,2.1524704,68,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",8012,24,True,1000,True,,1661983179,2
212,222,"C/ DEL CANÓ, 1",ELECTRICBIKESTATION,41.4013296,2.1574439,58,"C/ DEL CANÓ, 1",8012,27,True,1000,True,,1661983179,2
213,223,"C/ DE BONAVISTA, 14",ELECTRICBIKESTATION,41.3983444,2.1598243,48,"C/ DE BONAVISTA, 14",8012,36,True,1000,True,,1661983179,2
214,224,"C / GIRONA, 176",ELECTRICBIKESTATION,41.3999967,2.1644531,40,"C / GIRONA, 176",8037,26,True,1000,True,,1661983179,2
215,225,"C/ MALLORCA, 84",ELECTRICBIKESTATION,41.3850278,2.1510385,28,"C/ MALLORCA, 84",8029,24,True,1000,True,,1661983179,2
216,226,"C/ MONTMANY, 1",ELECTRICBIKESTATION,41.4035608,2.1609345,52,"C/ MONTMANY, 1",8012,27,True,1000,True,,1661983179,2
217,227,"C/ DEL TORRENT DE LES FLORS, 102",ELECTRICBIKESTATION,41.4078456,2.1586704,69,"C/ DEL TORRENT DE LES FLORS, 102",8024,18,True,1000,True,,1661983179,2
218,228,"PL. DEL NORD, 5",ELECTRICBIKESTATION,41.4068417,2.1558354,73,"PL. DEL NORD, 5",8024,21,True,1000,True,,1661983179,2
219,229,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREIN",ELECTRICBIKESTATION,41.4050968,2.1569161,68,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREINA)",8024,28,True,1000,True,,1661983179,2
220,230,"C/ DE NIL FABRA, 16-20",ELECTRICBIKESTATION,41.4059356,2.1517977,80,"C/ DE NIL FABRA, 16-20",8012,26,True,1000,True,,1661983179,2
221,231,"C/ PAU ALSINA, 54",ELECTRICBIKESTATION,41.4092005,2.16400285,65,"C/ PAU ALSINA, 54",8025,24,True,1000,True,,1661983179,2
222,232,"C/ VILÀ I VILÀ, 45",ELECTRICBIKESTATION,41.3733857,2.1709545,7,"C/ VILÀ I VILÀ, 45",8004,27,True,1000,True,,1661983179,2
223,233,"C/ NOU DE LA RAMBLA, 164",ELECTRICBIKESTATION,41.3719688,2.1667829,21,"C/ NOU DE LA RAMBLA, 164",8004,27,True,1000,True,,1661983179,2
224,234,"PG. DE L´EXPOSICIÓ, 30 /BLASCO GARAY",ELECTRICBIKESTATION,41.3714688,2.1629627,31,"PG. DE L´EXPOSICIÓ, 30 /BLASCO GARAY",8004,27,True,1000,True,,1661983179,2
